Word,Meaning,Example,Checked,Column5,Column6
all along,"all the time, from the beginning","She was accepted into the university, but she know all along that she'd get in.",0.0,,
across the board,including everyone or everything,The company had a successful year. All salaries were increased by 10% across the board,0.0,,
air his dirty laundry in public,discuss personal problems openly,He is a very private person. If he has a problem in his family he doesn't want to air his dirty laundry in public.,0.0,,
act up,misbehave (for people) not work properly (for machines),The baby sitter had a difficult time. The children acted up all evening. I guess I'd better take my car to the garage. It's been acting up lately.,0.0,,
add up,make sense; logically fit together(this phrasal verb is often negative) find the total.,"His theory is hard to believe, but his research adds up. His theory seems, at first, to be plausible, but the facts in his research don't add up. Your purchases add up to $205.32. What's the total of those bills? Could you add them up and see?",0.0,,
ask after/for,inquire about,Jim was asking after you. Tell your father I was asking for him.,0.0,,
back down / back off,not follow a threat; yield In an argument,"Tom was going to call the police when I told him I'd wrecked his car, but he backed down when I said I'd pay for the damages. Shella was right, so Paul had to back down.",0.0,,
back up,"move backward; move in reverse confirm a story, facts, or information make a ""protection"" copy to use if there are problems with the original","You missed the lines in the parking space. You'll have to back up and try again. The people waiting in line are too close to the door. We won't be able to open it unless they back up. My wife backed me up over my decision to quit my job. If you don't believe me, talk to Dave. He'll back me up. When my computer crashed, I lost many of my files. It's a good thing I backed them up.",0.0,,
bargain for/on,take into acount,"We hadn't bargained for there being so much traffic, and we missed the plane. The strength of the opposition was rather more than she'd bargained for.",0.0,,
be off,"to be cancelled ( of an event / an arrangement etc, usually used in the present tense ) depart, leave to be spoilt (of food)","The concert is off. I'm OFF home; it's five o'clock. He will be off tomorrow. This egg is off,' he thought. I can't eat it.'",0.0,,
be taken aback,to be surprised and confused,Jeff was taken aback by the discovery of an elephant. The news really took us aback,0.0,,
bear out,"confirm the truth, support",Helen's alibi was borne out by her sister.,0.0,,
beat up,to hurt someone badly by hitting and punching,Thugs beat him up when he walked down the street late at night,0.0,,
beg off,decline an invitation; ask to be excused from doing something,At first Lily said she would be at the party. Later she begged off.,0.0,,
blow up,to destroy (something or someone) by explosion; to explode to suddenly become very angry a balloon/a tyre /a football etc. to fill with air; to inflate,"Mr Trent hated his house, so he blew it up with dynamite and built a new one instead. The house blew up. I was surprised at the way he blew up at me. We need lots of balloons for the party. Will you blow them up?",0.0,,
bone up on,"review/study thoroughly for a short time, take a crash course","If you're going to travel to Peru, you'd better bone up on your Spanish.",0.0,,
break in,"enter by using force (and breaking a lock, window, etc.) wear something new until it's / they're comfortable train; get someone/something accustomed to a new routine",Somebody broke into Jane's apartment while she was at the movies. Burglars had broken in while we were away. I went for a walk to break in my new boots. The manager hasn't scheduled much time for breaking me in. The young horse was not yet broken in (= trained to carry a rider).,0.0,,
break off something,"to end; to interrupt; to discontinue, stop talking",Britain threatened to break off diplomatic relations. They’ve broken off their engagement.,0.0,,
break out,"to start, usually suddenly ( of unpleasant things e.g. wars, epidemics, fires, violence etc.) to remove something from something else by force to become covered by (something). to escape from something, often by destructive means, especially from prison","The Second World War broke out on 3 September, 1939. In 1939 World War Two broke out. Carefully, she broke the gemstone out of the side of the rock face. Cyril broke out in spots this morning. Her face broke out in a rash. He broke out in a cold sweat (= for example, through fear). The convicts plotted to break out of prison. You don't have the guts to break out of jail!",0.0,,
break up,"disperse; scatter; come to an end; to put an end to something to end a romantic relationship with someone (someone) to cause a person to laugh, perhaps at an inappropriate time to break something into smaller pieces; to destroy something","What time did the party break up last night? The party finally broke up at 3.00 am. Their marriage has broken up. Tom broke up with Mary and started dating Lisa. We broke up in March, after an argument. John told a joke that really broke Mary up. The comedian's job was to break up the audience by telling jokes. We broke the crackers up into much smaller pieces. The storm broke the docks up on the lake.",0.0,,
bring / take back,return something,"Yes, you can borrow my pen, don't forget to bring it back to me when you're finished. Can you bring me back some milk? This book is due tomorrow. I guess I should take it back to the library.",0.0,,
bring about,cause to happen,What brought about the change in his attitude?,0.0,,
bring off,succeed in doing something,The team tried few ears to win the competition and they finally brought it off.,0.0,,
bring on,cause trouble to happen to oneself cause the onset of an illness,You have brought this on/upon yourself. Sitting in the damp brought on his rheumatism.,0.0,,
bring / get round,to persuade somebody to agree to something,"He didn’t like the plan at first, but we managed to bring him round. After much discussion, I brought the committee round to my point of view. She knows how to get round her dad.",0.0,,
brush up,"to improve your knowledge, skill, or memory of (something you used to know, or do, but have now partly forgotten)",When you get back to England you must brush up (on) your French by enrolling in an evening class,0.0,,
burn down,"become destroyed / consumed by fire. Note: for upright things like trees, buildings, etc only.",Someone burned my house down,0.0,,
burn up,cause someone to become very angry become destroyed / consumed by fire Note: For people and non-upright things only,Did you hear how rudely Fred talked to me? That really burned me up! All of Mr. Kennedy's hay burned up when his barn burned down,0.0,,
call on,pay a visit to (someone). have recourse to. demand that (someone) do something.,We called on you last night but you weren't home. We are able to call on academic staff with a wide variety of expertise. I don't know why the teacher never calls on you. You always know the answer.,0.0,,
call up,mobilise for military service telephone,"Mark was called up when the war broke out. Before he left, he called up all his friends.",0.0,,
care for,like; want take care of; supply care to; attend / watch.,"This phrasal verb is usually negative, though it may be used affirmatively in questions A: ""Would you care for something to drink? We have coffee, tea, or orange juice."" B: ""Could I have water, please? I don't care for coffee, tea, or juice."" Amy's father got out of the hospital last week. The family is caring for him at home.",0.0,,
carry off,complete successfully - perhaps despite a problem,"Jane had a difficult role to play, but she carried it off.",0.0,,
