schön,Adjective,Just now,Checked
also,Adverb,Just now,0.0
zwei,Numeral,Just now,0.0
ich,Pronoun,Just now,0.0
mich,Pronoun,Just now,0.0
lange,Adverb,Just now,0.0
den,Determiner,Just now,0.0
sofort,Adverb,Just now,0.0
mehr,Adverb,Just now,0.0
für,Preposition,Just now,0.0
heute,Adverb,Just now,9.0
uns,Pronoun,Just now,0.0
wir,Pronoun,Just now,0.0
mal,Adverb,Just now,0.0
du,Pronoun,Just now,0.0
er,Pronoun,Just now,0.0
bald,Adverb,Just now,0.0
nicht,Adverb,Just now,0.0
anders,Adverb,Just now,0.0
sogar,Adverb,Just now,0.0
aber,Conjunction,Just now,0.0
das,Determiner,Just now,0.0
es,Pronoun,Just now,0.0
dich,Pronoun,Just now,0.0
einen,Determiner,22 hours ago,0.0
weiterer,Adjective,22 hours ago,0.0
passende,Adjective,22 hours ago,0.0
wichtigen,Adjective,22 hours ago,5.0
ihn,Pronoun,22 hours ago,0.0
sind,Verb,22 hours ago,1.0
und,Conjunction,22 hours ago,0.0
frau,Noun,22 hours ago,0.0
wie,Conjunction,22 hours ago,0.0
ist,Verb,22 hours ago,9.0
bin,Verb,22 hours ago,0.0
ein,Determiner,22 hours ago,0.0
mir,Pronoun,22 hours ago,0.0
passenden,Adjective,22 hours ago,0.0
frei,Adjective,22 hours ago,8.0
eine,Determiner,22 hours ago,0.0
meine,Pronoun,22 hours ago,0.0
die,Determiner,22 hours ago,0.0
wirklich,Adjective,22 hours ago,0.0
von,Preposition,22 hours ago,9.0
noten,Noun,22 hours ago,0.0
stifte,Noun,22 hours ago,0.0
note,Noun,22 hours ago,0.0
übungen,Noun,22 hours ago,0.0
stift,Noun,22 hours ago,0.0
übung,Noun,22 hours ago,0.0
stiften,Noun,22 hours ago,0.0
leser,Noun,22 hours ago,0.0
bildung,Noun,22 hours ago,2.0
universität,Noun,22 hours ago,0.0
noch,Adverb,22 hours ago,0.0
wann,Adverb,22 hours ago,0.0
weder,Conjunction,22 hours ago,0.0
ihr,Pronoun,22 hours ago,0.0
dein,Pronoun,22 hours ago,0.0
habe,Verb,22 hours ago,0.0
schlecht,Adjective,22 hours ago,0.0
haben,Verb,22 hours ago,0.0
gut,Adjective,22 hours ago,0.0
mit,Preposition,22 hours ago,0.0
teuer,Adjective,22 hours ago,0.0
traurig,Adjective,yesterday,0.0
sie,Pronoun,yesterday,0.0
zum,Preposition,yesterday,0.0
