Word,Checked
adolescent,8
characteristic,23
trait,12
apprehensive,13
assertive,4
clumsy,26
cynical,12
desirable,10
eccentric,10
egotistical,27
gullible,21
idealized,20
inconsiderate,30
indecisive,3
self-assured,22
self-absorbed,2
self-centered,0
self-congratulatory,15
self-deprecating,4
self-important,14
tactful,33
well-adjusted,8
well-bred,23
well-brought-up,9
well-dressed,0
era,9
evolution,21
find,8
pioneer,23
remnant,15
in retrospect,19
status quo,8
transition,28
trend,10
abrupt,15
bygone,8
fleeting,17
immense,32
infinitesimal,33
moderate,9
periodic,8
preceding,13
prehistoric,2
profound,32
rapid,7
topical,7
tremendous,15
turbulent,5
(be) pressed for time,33
have the time of your life,27
have time on your hands,3
in next to no time,2
in the blink of an eye,26
there aren't enough hours in the day,8
excavate,5
behaviour,10
demographics&nbsp;,15
heritage,29
interaction,28
minority,12
norm,6
peer,14
pressure,30
segment,24
standard,27
status,19
anti-social,20
conservative,9
conventional,9
harmonious,18
influential,31
multicultural,31
suburban,25
unconventional,7
follow accepted behaviour,29
conform,22
exclude,5
flaunt,14
obey,19
skew,16
capsule,33
carbon dioxide,1
compound,9
consequence,13
dose,11
emission,29
exposure,34
food chain,24
infection,5
pesticide,18
protein,31
reaction,10
side effect,25
bacterial,3
contagious,32
contaminated,32
controversial,21
crucial,16
essential,29
natural,12
organic,13
petrochemical,34
absorb,28
contaminate,25
release,12
apprenticeship,29
conceptualize,9
consistency,11
establishment,9
formulation,3
hypothesis,17
inconsistency,19
insignificance,26
technician,20
theorist,25
vocation,27
analytical,19
blue-collar,25
conceptual,18
hypothetical,1
indicative,2
a process of trial and error,22
give yourself something to aim for,17
make a concerted effort,8
billboard,33
branding,6
distributor,30
flyer,0
gimmick,7
jingle,7
manufacturer,0
marketing,19
online retailer,10
ploy,34
rebate,33
vendor,28
catchy,5
compelling,23
distracting,12
disturbing,3
infuriating,3
invasive,30
irritating,31
monetary,23
persuasive,31
promotional,1
repetitive,26
slick,1
inevitable,6
assure,17
cultivate,31
entice,34
induce,16
oblige,29
pressurise,16
reassure,18
tempt,25
urge,31
breathtaking,18
charming,28
comfortable,5
dramatic,24
magnificent,16
memorable,32
mountainous,23
precarious,25
remote,10
rustic,28
spectacular,25
stunning,18
attract,21
damage,30
outweigh,32
bureaucrat,20
civil servant,16
community,8
healthcare,7
mayor,18
parliament,9
military service,18
notion,2
old-age pension,8
safety net,3
social services,30
unemployment benefit,24
leader of the opposition,19
lose control of,34
social welfare,11
miscalculate,19
misinform,15
misdiagnose,7
mismanage,22
misunderstand,31
misinterpret,8
mislead,26
misjudge,1
mistrust,33
subsidize,20
burrow,28
colony,21
deforestation,5
degradation,26
demise,16
devastation,0
flooding,27
habitat,19
harm,31
herd,30
hive,11
lifespan,9
pack,20
parasite,2
prey,6
rival,31
swarm,34
threshold,27
appalling,3
aquatic,29
hypocritical,25
impartial,5
irresponsible,11
nocturnal,33
outrageous,21
risky,20
venomous,13
flourish,21
forage,12
hibernate,1
lay,17
poach,25
thrive,1
condensation,7
debris,15
eclipse,5
evaporation,4
gravity,24
harbour,29
astronomical,24
climatic,2
fascinating,29
colossal,1
immeasurable,7
imperceptible,10
magnetic,2
minuscule,13
transient,16
vast,20
activate,6
burst,33
collide,18
dilute,12
dissolve,32
penetrate,8
pierce,14
reflect,8
repel,23
solidify,5
cyberspace,6
expense,26
fabric,11
fibre,32
foam,22
log,19
marble,0
patent,24
pillar,22
plank,33
prop,5
thread,29
timber,9
cutting-edge,9
futuristic,7
demolish,30
dye,2
innovative,3
revolve,13
rotate,15
strike,27
archive,2
acquisitiveness,17
stockpile,25
supplies,4
chic,25
drab,15
mundane,15
sophisticated,6
must-have,25
a passing trend,30
casual dress,26
conspicuous consumption,17
designer label,23
disposable income,4
fashion accessory,6
get rid of,27
vogue,0
abandon,31
conserve,21
consume,12
discard,26
dump,31
eradicate,28
hoard,7
maintain,22
preserve,4
retain,26
concrete jungle,32
employment opportunities,7
high-rise building,11
housing estate,17
slum,33
noise pollution,11
suburbs,10
sewage,15
congestion,0
urban sprawl,19
frantic,17
high-rise,16
isolated,11
overpopulated,22
migrate,6
settle,15
tranquil,23
abysmal,21
catastrophe,12
clone,3
controversy,32
crisis,14
dilemma,19
disaster,11
hurdle,16
obstacle,23
setback,11
catastrophic,13
daunting,22
disastrous,31
insurmountable,19
ongoing,17
pervasive,3
problematic,30
do more harm than good,34
dwell on,34
energy crisis,4
gain insight into,32
genetically modified,7
take stock of something,5
aggravate,15
alleviate,25
arise,15
exacerbate,31
hinder,2
ignore,26
improve,24
mitigate,34
rectify,2
resolve,30
aftershock,3
agriculture,25
cattle,32
coast,17
deforestation&nbsp;,14
desalination&nbsp;,21
erosion,9
fungus,16
herbivore,16
lava,23
